start_date,start_station_code,end_date,end_station_code,duration_sec,is_member,yearid
2014-06-01 00:00:00,6223,2014-06-01 00:27:00,6004,1620.0,0,2014
2014-06-01 00:00:00,6223,2014-06-01 00:28:00,6004,1680.0,0,2014
2014-06-01 00:00:00,6255,2014-06-01 00:05:00,6907,300.0,0,2014
2014-06-01 00:00:00,6059,2014-06-01 00:21:00,6008,1260.0,0,2014
2014-06-01 00:00:00,6059,2014-06-01 00:21:00,6008,1260.0,0,2014
2014-06-01 00:00:00,6203,2014-06-01 00:03:00,6047,180.0,1,2014
2014-06-01 00:00:00,6202,2014-06-01 00:08:00,6175,480.0,1,2014
2014-06-01 00:00:00,6170,2014-06-01 00:12:00,6112,720.0,1,2014
2014-06-01 00:00:00,6038,2014-06-01 00:08:00,6007,480.0,1,2014
2014-06-01 00:00:00,6350,2014-06-01 00:11:00,6003,660.0,1,2014
2014-06-01 00:00:00,6328,2014-06-01 00:31:00,6186,1860.0,1,2014
2014-06-01 00:03:00,6241,2014-06-01 00:37:00,6092,2040.0,0,2014
2014-06-01 00:00:00,6323,2014-06-01 00:19:00,6221,1140.0,1,2014
2014-06-01 00:00:00,6180,2014-06-01 00:15:00,6122,900.0,1,2014
2014-06-01 00:01:00,6070,2014-06-01 00:11:00,6107,600.0,1,2014
2014-06-01 00:01:00,6184,2014-06-01 00:34:00,6012,1980.0,0,2014
2014-06-01 00:01:00,6063,2014-06-01 00:15:00,6211,840.0,1,2014
2014-06-01 00:01:00,6214,2014-06-01 00:07:00,6902,360.0,1,2014
2014-06-01 00:02:00,6241,2014-06-01 00:38:00,6092,2160.0,0,2014
2014-06-01 00:01:00,6912,2014-06-01 00:12:00,6200,660.0,0,2014
2014-06-01 00:01:00,6323,2014-06-01 00:22:00,6221,1260.0,1,2014
2014-06-01 00:01:00,6211,2014-06-01 00:18:00,6264,1020.0,1,2014
2014-06-01 00:01:00,6183,2014-06-01 00:09:00,6199,480.0,1,2014
2014-06-01 00:01:00,6260,2014-06-01 00:23:00,6396,1320.0,1,2014
2014-06-01 00:01:00,6231,2014-06-01 00:09:00,6912,480.0,1,2014
2014-06-01 00:01:00,6280,2014-06-01 00:20:00,6009,1140.0,1,2014
2014-06-01 00:01:00,6142,2014-06-01 00:19:00,6273,1080.0,1,2014
2014-06-01 00:02:00,6114,2014-06-01 00:15:00,6037,780.0,1,2014
2014-06-01 00:02:00,6211,2014-06-01 00:07:00,6020,300.0,1,2014
2014-06-01 00:03:00,6915,2014-06-01 00:25:00,6202,1320.0,1,2014
2014-06-01 00:04:00,6196,2014-06-01 00:15:00,6083,660.0,0,2014
2014-06-01 00:03:00,6050,2014-06-01 00:15:00,6921,720.0,0,2014
2014-06-01 00:03:00,6149,2014-06-01 00:07:00,6134,240.0,1,2014
2014-06-01 00:03:00,6700,2014-06-01 00:08:00,6397,300.0,1,2014
2014-06-01 00:04:00,6050,2014-06-01 00:15:00,6921,660.0,0,2014
2014-06-01 00:03:00,6070,2014-06-01 00:17:00,6729,840.0,1,2014
2014-06-01 00:03:00,6048,2014-06-01 00:11:00,6078,480.0,1,2014
2014-06-01 00:04:00,6243,2014-06-01 00:16:00,6184,720.0,0,2014
2014-06-01 00:04:00,6173,2014-06-01 00:17:00,6167,780.0,1,2014
2014-06-01 00:04:00,6243,2014-06-01 00:17:00,6184,780.0,1,2014
2014-06-01 00:04:00,6140,2014-06-01 00:30:00,6112,1560.0,0,2014
2014-06-01 00:04:00,6068,2014-06-01 00:27:00,6021,1380.0,1,2014
2014-06-01 00:04:00,6255,2014-06-01 00:13:00,6361,540.0,1,2014
2014-06-01 00:04:00,6344,2014-06-01 00:14:00,6189,600.0,1,2014
2014-06-01 00:04:00,6362,2014-06-01 00:14:00,6262,600.0,1,2014
2014-06-01 00:04:00,6199,2014-06-01 00:15:00,6225,660.0,1,2014
2014-06-01 00:06:00,6328,2014-06-01 00:35:00,6094,1740.0,0,2014
2014-06-01 00:05:00,6206,2014-06-01 00:15:00,6223,600.0,1,2014
2014-06-01 00:05:00,6219,2014-06-01 00:20:00,6161,900.0,1,2014
2014-06-01 00:05:00,6415,2014-06-01 00:21:00,6100,960.0,1,2014
2014-06-01 00:05:00,6204,2014-06-01 00:17:00,6196,720.0,1,2014
2014-06-01 00:05:00,6092,2014-06-01 00:08:00,6099,180.0,1,2014
2014-06-01 00:05:00,6204,2014-06-01 00:17:00,6196,720.0,1,2014
2014-06-01 00:05:00,6107,2014-06-01 00:11:00,6087,360.0,1,2014
2014-06-01 00:05:00,6413,2014-06-01 00:12:00,6038,420.0,1,2014
2014-06-01 00:05:00,6154,2014-06-01 00:29:00,6032,1440.0,1,2014
2014-06-01 00:06:00,6730,2014-06-01 00:42:00,6395,2160.0,1,2014
2014-06-01 00:06:00,6039,2014-06-01 00:08:00,6049,120.0,1,2014
2014-06-01 00:07:00,6241,2014-06-01 00:37:00,6092,1800.0,0,2014
2014-06-01 00:06:00,6111,2014-06-01 00:08:00,6110,120.0,1,2014
2014-06-01 00:08:00,6116,2014-06-01 00:51:00,6395,2580.0,0,2014
2014-06-01 00:07:00,6321,2014-06-01 00:23:00,6262,960.0,1,2014
2014-06-01 00:07:00,6219,2014-06-01 00:13:00,6009,360.0,1,2014
2014-06-01 00:08:00,6116,2014-06-01 00:51:00,6395,2580.0,0,2014
2014-06-01 00:07:00,6102,2014-06-01 00:36:00,6102,1740.0,1,2014
2014-06-01 00:07:00,6716,2014-06-01 00:12:00,6422,300.0,1,2014
2014-06-01 00:07:00,6203,2014-06-01 00:19:00,6204,720.0,1,2014
2014-06-01 00:07:00,6388,2014-06-01 00:20:00,6141,780.0,1,2014
2014-06-01 00:07:00,6254,2014-06-01 00:12:00,6251,300.0,1,2014
2014-06-01 00:08:00,6079,2014-06-01 00:20:00,6102,720.0,0,2014
2014-06-01 00:07:00,6088,2014-06-01 00:25:00,6350,1080.0,1,2014
2014-06-01 00:09:00,6177,2014-06-01 00:19:00,6165,600.0,0,2014
2014-06-01 00:08:00,6173,2014-06-01 00:21:00,6163,780.0,1,2014
2014-06-01 00:09:00,6177,2014-06-01 00:19:00,6165,600.0,0,2014
2014-06-01 00:08:00,6186,2014-06-01 00:22:00,6381,840.0,1,2014
2014-06-01 00:08:00,6114,2014-06-01 00:19:00,6391,660.0,1,2014
2014-06-01 00:09:00,6175,2014-06-01 00:17:00,6131,480.0,0,2014
2014-06-01 00:09:00,6116,2014-06-01 00:51:00,6395,2520.0,0,2014
2014-06-01 00:09:00,6246,2014-06-01 00:30:00,6177,1260.0,1,2014
2014-06-01 00:09:00,6281,2014-06-01 00:11:00,6745,120.0,1,2014
